,Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
189,00029338,EMPAQ TAPA VALV TOY 18R 2C 2.0CC                                                                    ,,11/03/2021,,N,,
190,00029339,EMPAQ TAPA VALV TOY 22R 94/97 2WD-4WD             ,22/02/2018,09/03/2021,,N,N,
191,00029340,EMPAQ TAPA VALV TOY DYNA DELTA 3.0                ,07/08/2013,09/08/2013,,N,,
192,00029341,EMPAQ TAPA VALV TOY HILUX 1C-2C                                                                     ,,16/12/2022,,N,,
193,00029342,EMPAQ TAPA VALV TOY HILUX 22RE                    ,25/01/2016,24/10/2022,,N,N,
194,00029345,EMPAQ TAPA VALV TOY TERCEL 2E/3E JPCOROLLA 1.6    ,05/10/2013,12/10/2013,,N,N,
195,00029346,EMPAQ TAPA VALV TOY DYNA 11B/14B                  ,31/03/2014,06/03/2012,,N,N,
196,00031134,EMPAQ TAPA VALVUL DAEWOO TICO/DAMAS                                                                 ,,29/03/2016,,N,,
197,00031923,EMPAQ CULATA FORD RANGER 2.8 99/00                ,20/08/2013,22/08/2013,,N,,
198,00031931,EMPAQUET CULATA HYU ACC 1.5 DIESEL 02/06 MATRIX 1.,27/06/2013,29/07/2016,,N,,
199,00032732,EMPAQ CULATA KIA RIO II 1.5                       ,14/01/2023,,,N,N,
200,00033962,GOMA EMPAQ 1/16 1.59MM C/TELA                                                                       ,17/01/2020,17/01/2020,,N,N,
201,00033963,GOMA EMPAQ 1/16 1.59MM S/TELA                                                                       ,,09/07/2019,,N,N,
202,00033964,GOMA EMPAQ 1/8 3.17MM C/TELA                                                                        ,18/01/2012,24/11/2014,S,N,N,
203,00033965,GOMA EMPAQ 1/8 3.17MM S/TELA                                                                        ,11/08/2018,16/08/2018,,N,,
204,00033966,GOMA EMPAQ 1/4 6.35MM C/TELA                                                                        ,18/01/2012,06/01/2015,S,N,N,
205,00033967,GOMA EMPAQ 1/4 6.35MM S/TELA                                                                        ,11/08/2018,29/01/2021,,N,,
206,00033968,GOMA EMPAQ 5/16 7.93MM C/TELA                                                                       ,,06/02/2013,,N,,
207,00033969,GOMA EMPAQ 5/16 7.93MM S/TELA                                                                       ,,,,,,
208,00033970,GOMA EMPAQ 3/8 9.52MM C/TELA                                                                        ,,,,,,
