,Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
5703,00066969,KIT RADIO 36MILLA GXT1000 VP4  MIDLAND            ,,,,,,
5704,00066997,ALT.DELCO ORIGINAL 30SI 24VOL                     ,,,,,,
5705,00066998,PISTOLA IMPACTO 1'' CORTA HIMOUNT                 ,,,,,,
5706,00066999,PISTOLA IMPACTO 1'' LARGA HIMOUNT                 ,,,,,,
5707,00067000,JGO DE EMPAQ. CHEVROLET D14000                    ,13/01/2015,27/01/2015,,N,,
5708,00067001,PL FIBROCEMENTO 4.0 MM                            ,16/11/2022,21/11/2022,S,N,,
5709,00067002,JUNQUILLO 1''                                     ,17/01/2015,20/01/2015,,N,,
5710,00067003,JUNQUILLO 1''                                     ,,,,,,
5711,00067004,KIT RADIO 35 MILLAS/56KM MT350CLR  MOTOROLA       ,,,,,,
5712,00067013,EXTENSION PROFESIONAL 20MTS                       ,19/11/2022,21/11/2022,S,N,,
5713,00067021,PATENTE FW-LV-65                                  ,10/01/2015,10/01/2015,,N,,
5714,00067032,PERFIL CUADRADO 25X25X1.5 MM 6 MTS                ,,,,,,
5715,00067038,BOMBA ROTATORIA 1/4 HP 12V CON CONTADOR FR1211CL  ,,,,,,
5716,00067039,RECOGEDOR ACEITE USADO 70LTS SAMOA                ,07/12/2016,07/12/2016,,,N,
5717,00067040,RECOGEDOR ACEITE USADO 100LTS SAMOA               ,,,,,,
5718,00067046,REGULADOR OXIGENO 801-3.5-LP HARRI                ,,,,,,
5719,00067048,REGULADOR ACETILENO MOD 801-3.5-LP HARRI          ,,,,,,
5720,00067050,GENERADOR DE 55KVA INSONORIZADO TRIFASICO         ,,,,,,
5721,00067051,GENERTADOR DE 44 KVA INSONORIZADO TRIFASICO       ,,,,,,
5722,00067052,TABLERO TRANSFERENCIA SKT1-63A/4P                 ,,,,,,
5723,00067058,TOSTADOR                                          ,13/01/2015,,,N,,
5724,00067061,KIT MUEBLE COCINA 080 CM + GRIFERIA               ,,,,,,
5725,00067062,KIT MUEBLE COCINA 1.00 MTS + GRIFERIA             ,27/01/2015,28/01/2015,,N,,
5726,00067063,KIT MUEBLE COCINA 1.20 MTS + GRIFERIA             ,,,,N,,
5727,00067064,LAVAPLATO INOX 0.80 CM                            ,,,,,,
5728,00067065,LAVAPALTO INOX 1.00 MTS + DESAGUE                 ,,,,,,
5729,00067066,LAVAPALTO INOX 1.20 MTS 2CUB+DESAGUE              ,,,,,,
5730,00067070,ACRILICO 69 X 63 X 5 MM                           ,19/01/2015,13/01/2015,,N,,
5731,00067091,MANGO MADERA ESCOBILLON MUNICIPAL                 ,08/02/2023,23/05/2017,S,N,,
5732,00067092,JGO DADO CROSSMAN FOSFATADO 3/4 17-50MM 21 PCS    ,14/01/2015,14/01/2015,,N,,
5733,00067098,AMORTIGUADOR DELANTERO NISSAN D21 /TERRANO D22    ,25/03/2020,27/03/2020,,S,N,
5734,00067101,PPORTA POWER 5 TON CA05.13 LARZEP                 ,,,,,,
5735,00067104,COMPRESOR 200 LTS CLS -10BR SCHULZ 220V-140LBS    ,22/04/2016,22/04/2016,,N,,
5736,00067107,REPAR. Y CALIBRACION DE INYECT.                   ,16/04/2015,16/04/2015,,N,,
5737,00067108,PLANCHA FIERRO 1000 X 1000 X 12 M/M               ,,,,,,
5738,00067110,PLANCHA ZINCADA PV 4 X 6.50 MTS                   ,,,,,,
5739,00067112,PLANCHA ZINCADA 5V 0.35 X 895 X 2000              ,,,,,,
5740,00067120,ROD. TR70904                                      ,16/01/2015,16/01/2015,,N,,
5741,00067121,ROD  TR 100802                                    ,16/01/2015,16/01/2015,,N,,
5742,00067122,RETEN 41 X 71 X 11/18                             ,,,,,,
5743,00067123,RETEN 41X74X11/18                                 ,16/01/2015,16/01/2015,,N,,
5744,00067124,INSTALACION ALZAVIDRIOS                           ,,,,,,
5745,00067125,PERNO HEX MM 24X240 G8.8 P 3.0                    ,,,,,,
5746,00067131,CARPETA CON ACCO AZUL                             ,13/09/2022,19/01/2015,S,N,,
5747,00067133,REPARACION BOMBA DE PARQUEO                       ,,16/02/2015,,N,,
5748,00067135,FLEXIBLE GAS REGULADR 45 KG                       ,21/10/2022,25/10/2022,S,N,,
5749,00067220,ESPONJA ABRASIVA G180 280 EZLCOK 511S             ,22/01/2015,23/01/2015,,N,N,
5750,00067240,ACRILICO  33 CMS X 1 MTS  5 MM                    ,,20/01/2015,,N,,
5751,00067246,PERNO A-325 1 X 5                                 ,,,,,,
5752,00067247,FLEXIBLE HI-HI 35 CMS AGUA                        ,23/11/2020,24/09/2021,,N,,
5753,00067248,PERNO A 325  1 X 5 1/2                            ,,,,,,
5754,00067249,FLEXIBLE HI-HI 25 CMS AGUA                        ,21/01/2022,21/01/2022,S,N,,
5755,00067250,FLEXIBLE 1/2X1/2 50 CMS GAS                       ,30/01/2015,27/01/2016,,N,,
5756,00067251,PERNO A-325 1 1/4 X 5 1/2                         ,,,,,,
5757,00067252,PERNO A-325  1 1/4 X 4 1/2                        ,,,,,,
5758,00067253,TUERCA A-325 1 1/4                                ,,,,,,
5759,00067255,PERNO A-325 1 1/4 X 5                             ,,,,,,
5760,00067256,MANGUERA TRANSPARENTE  1/2                        ,21/01/2015,17/12/2022,,N,N,
5761,00067257,PERNO A-325 1 1/4 X 6 1/2                         ,,,,,,
5762,00067258,PERNO A-325  1 1/4 X 7                            ,,,,,,
5763,00067259,PERNO A-325 1 1/2 X 6 1/2                         ,,,,,,
5764,00067260,TUERCA A-325 1 1/2                                ,,,,,,
5765,00067264,PERNIO HEX 10 X 25 P 1.50 INOX                    ,,,,,,
5766,00067275,TORNER CE505A                                     ,23/01/2015,21/01/2015,,N,,
5767,00067276,GRAPA DE UNION 1 1/2 GVM                          ,20/04/2020,20/04/2020,,N,,
5768,00067297,MICROONDA 25LTS  SOMELA                           ,24/01/2015,24/01/2015,,N,,
5769,00067298,FRASCOS MUESTRAS DE ACEITE (OIL ANALISSIS)        ,,19/05/2016,,N,,
5770,00067319,EMP MULT ESCAPE LUV 2.8                           ,26/01/2015,23/01/2015,,N,,
5771,00067320,EMP MULT ADMISION LUV 2.8                         ,26/01/2015,23/01/2015,,N,,
5772,00067334,PLANCHA FIERRO 244X100X12                         ,27/01/2015,27/01/2015,,N,,
5773,00067343,SOPORTE MOTOR DEL LH                              ,27/01/2015,27/01/2015,,N,,
5774,00067344,SOPORTE MOTOR TRAS CORSA                          ,27/01/2015,27/01/2015,,N,,
5775,00067345,SOPORTE TENDOR SUP MOTOR MONTANA                  ,27/01/2015,27/01/2015,,N,,
5776,00067346,SOPORTE MOTOR DEL RH                              ,27/01/2015,27/01/2015,,N,,
5777,00067357,PORTO POWER  10 TON GC-10 MEGA                    ,,,,,,
5778,00067358,PORTO PWER 20 TON GC-20 MEGA                      ,,,,,,
5779,00067359,PORTO POWER 4 TON SP-09101 BIGRED                 ,10/02/2022,11/02/2022,S,N,,
5780,00067360,PORTO POWER 10 TON  SP-09201 BIGRED               ,,,,,,
5781,00067364,PISTOLA IMPACTO 3/4 SIUOX ALUMINIO                ,,,,,,
5782,00067365,PISTOLA IMPACTO 3/4 HIMOUNT TORQUE MAX 900 LB     ,,,,,,
5783,00067369,SELECTOR 3 POSICIONES CA22-LS320                  ,,,,,,
5784,00067371,TERMINAL CU ESTA�O 4 AWG EKOLINE                  ,,,,,,
5785,00067372,TERMINAL CU ESTA�O 6 AWG EKOLINE                  ,,,,,,
5786,00067374,REGULADOR DELCO 18SI 24V M.BENZ 915 O500          ,29/09/2015,18/05/2016,,,N,
5787,00067377,VALVULA DE COMPUERTA BRONCE 2 1/2                 ,,,,,,
5788,00067378,CODO PVC 40M/M X 90                               ,,,,,,
5789,00067379,CODO PVC 63 X 90                                  ,07/04/2022,06/04/2022,S,N,,
5790,00067380,MANGUERA LISA POLIETILENO 16 M/M  X 300MTS.       ,,,,,,
5791,00067386,FILTRO PSC-76 (FF5488                             ,20/11/2019,28/01/2015,,N,,
5792,00067393,ENCHUFE VOLANTE MACHO 32AMP 3P+N+E 380V           ,16/03/2019,18/03/2019,,N,,
5793,00067411,FILTRO B-495                                      ,02/02/2015,19/12/2018,,N,N,
5794,00067412,FILTRO PF-7744   P550757                          ,02/02/2015,02/02/2015,,N,,
5795,00067418,ENCHUFE 32A 4P                                    ,17/06/2022,29/06/2022,S,N,,
5796,00067422,CORREA SPC-4250  ROFLEX                           ,31/01/2015,31/01/2015,,N,,
5797,00067423,SOPORTE CAJA CAMBIO TRAS CHEV.MONTANA             ,30/01/2015,30/01/2015,,N,,
5798,00067424,PERNO INOX 304 1/4 X 3 1/2                        ,16/02/2018,06/12/2018,,N,N,
5799,00067425,TUERCA SEG INOX 1/4 NC 304                        ,,,,,,
