,Codigo,Descripcion,Grupo,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
194,00001296,"MANG. MALLAFLEX ATOXICA 200PSI 1/2""TRANS.MT       ",ROTACION ,,,,,,
195,00001306,PERFIL C 2 X 3 X 0.85 X 3MTS                      ,ROTACION ,,,,,,
196,00001319,SET BROCA SDS-TIN 19PZS D-72229-10                ,ROTACION ,,,,N,,
197,00001330,"ESPATULA ACERO FLEX 6"" TRUPER M/MADERA 590220     ",ROTACION ,,,,,,
198,00001335,CADENA ESLABON LARGO M10 X 40 X 65 003580         ,ROTACION ,,,,,,
199,00001336,PLANCHA 12MM X 2440 X 1000 MT                     ,ROTACION ,,,,,,
200,00001337,PLANCHA 10MM X 2000 X 1000                        ,ROTACION ,,,,,,
201,00001339,DILUYENTE SINTETICO AL-100 GL                     ,ROTACION ,,,,,,
202,00001340,ESMALTEN SINTETICO BALNCO GL                      ,ROTACION ,,,,,,
203,00001346,MACETA BRONCE 16 LBS TRUPPER MANGO FIBRA          ,ROTACION ,,,,N,,
204,00001349,MACETA BRONCE 20 LBS TRUPPER MANGO DE FIBRA       ,ROTACION ,,,,,,
205,00001350,BROCA SDS PLUS 13X210 MM GERMANY                  ,ROTACION ,,,,,,
206,00001360,PERNO HEX.G2 NC 3/4X3 H.COMP 103602               ,ROTACION ,,,,N,,
207,00001361,PERNO HEX G2 5/8 X 2 1/2 ZINC  C/TCA 1112107      ,ROTACION ,,,,N,,
208,00001372,PERNO HEX G2 5/8 X 2 1/2 ZINC C/ TCA  1112107     ,ROTACION ,,,,,,
209,00001375,NEU 155 R13C 8PR MILEMAX                          ,ROTACION ,,,,,,
210,00001376,NEU 165/80 R14 DURAPLUS GOODYER                   ,ROTACION ,,,,,,
211,00001377,ESCOBILLON ECOLOGICO VIRUTEX  2489678             ,ROTACION ,,,,,,
212,00001381,BOLSA BASURA 110X150 CM NEGRA  KLEINE 3320022     ,ROTACION ,,,,,,
213,00001382,ESCOBILLA ACERO S/ MANGO HELA  704040             ,ROTACION ,,,,,,
214,00001383,"AUTOPERF.CAB.LENTEJA 8X1"" 500 UN MAMUT 3242889    ",ROTACION ,,,,,,
215,00001387,"AUTOPERF.CAB.LENTEJA 8X1/2"" 100 UN.MAMUT          ",ROTACION ,,,,,,
216,00001391,VENTOSA PARA VIDRIO 100 KGS                       ,ROTACION ,,,,,,
217,00001392,MANGUERA OXICORTE 1/4X 10MTS CON ACOPLES          ,ROTACION ,,,,,,
218,00001395,PISTOLA PINTAR 650 WATT  BAUKER                   ,ROTACION ,,,,,,
219,00001397,RODAMIENTO 6007 2 RS TIMKEN                       ,ROTACION ,,,,,N,
220,00001399,RODAMIENTO RODILLO CONICO 32OO7 X NSK             ,ROTACION ,,,,,,
221,00001400,RODAMIENTO GE-50-ES-2RS                           ,ROTACION ,,,,N,N,
222,00001402,LAVADORA SAMSUNG WOBBLE  8 KGS                    ,ROTACION ,,,,,,
223,00001404,CANOA ESTANCA S/EQUIPO 2X40W  /TUBO LED           ,ROTACION ,,,,,,
224,00001405,HUINCHA STANLEY AGRIM. 60MT 34-794                ,ROTACION ,,,,,,
225,00001409,"VALV.MARIPOSA INOX.6""PN10 T/ WAFER                ",ROTACION ,,,,,,
226,00001410,"FLANGE A-105 NORMA ANSI 150 SLIP 6""               ",ROTACION ,,,,,,
227,00001411,CORREA B - 96                                     ,ROTACION ,,,,,,
228,00001412,CORREA B-78 FENNER                                ,ROTACION ,,,,,,
229,00001417,CORREA B-105  FENNER                              ,ROTACION ,,,,,,
230,00001418,CORREA B-91 FENNER                                ,ROTACION ,,,,,,
231,00001419,CORREA C-85 FENNER                                ,ROTACION ,,,,,,
232,00001421,CORREA SPB 1900 CARLISLE                          ,ROTACION ,,,,,,
233,00001423,LLAVE IMPACTO MAKITA 3/4 TW001GM 40V              ,ROTACION ,,,,,,
234,00001424,DADO IMPACTO LARGO #3/4 1.11/16                   ,ROTACION ,,,,,,
235,00001425,JUGO.DADOS HEX 1/4 5/32-9/16 LARGO FORCE          ,ROTACION ,,,,,,
236,00001442,CORREA 8V - 3000 JASON                            ,ROTACION ,,,,,,
237,00001444,SIERRA CIRC.INAL.DHS782 36V MAKITA                ,ROTACION ,,,,N,,
238,00001445,GUARDERA 1/2 X10 58-60 SHORE                      ,ROTACION ,,,,,,
239,00001453,DADO IMPACTO CORTO 3/4 X 1 1/8  HANS              ,ROTACION ,,,,,,
240,00001456,"DADO IMPACTO CORTO 1"" X 46 MM HANS 652746         ",ROTACION ,,,,N,,
241,00001462,GENERADOR BENC.TG2800CX-XP 2.2W TOYAMA            ,ROTACION ,,,,,,
242,00001463,GENERADOR BENC 3.1KW TG3800CX1 TOYAMA             ,ROTACION ,,,,,,
243,00001465,GENERADOR BENC.5.5KW TG6500CXE-XP TOYAMA          ,ROTACION ,,,,,,
244,00001469,LIMA ROTATIVA B-2 SUP ESPIGA 6MM TOTEM            ,ROTACION ,,,,,,
245,00001470,LIMA ROTATIVA 0-2 SUP ESPIGA 6MM                  ,ROTACION ,,,,,,
246,00001472,SDFSD                                             ,ACCESORIOS,,,,,,
247,00001475,PROBADOR NEON 100-50                              ,ROTACION ,,,,,,
248,00001479,CARGADOR BATERIA CLASS 30 DECA                    ,ROTACION ,,,,N,,
249,00001485,CAUTIN PISTOLA 100W 220V SP200                    ,ROTACION ,,,,,,
250,00001492,CARRO ESCURRIDOR 26 LT AMARILLO  3126749          ,ROTACION ,,,,,,
251,00001493,SELLANTE CA�ERIA RAPP IT 122  50MM X 3 6 MT       ,ROTACION ,,,,,,
252,00001494,SELLANTE CA�ERIA RAPP IT 124 100MM X 3.6 MT       ,ROTACION ,,,,,,
253,00001496,SELLANTE CA�ERIA  RAPP IT 164  100 X 4 8 MT       ,ROTACION ,,,,,,
254,00001501,SELLANTE CA�ERIA RAPP IT 304 100MMX 9.0 MT        ,ROTACION ,,,,,,
255,00001502,VENDA REP. TUBERIAS RAPPIT RAP 123 75MM X 3 6 MT  ,ROTACION ,,,,,,
256,00001508,CUBRE ASIENTO LUJO                                ,ROTACION ,,,,,,
257,00001509,ESLINGA PLANA 3 CAPAS 2MT GORILA                  ,ROTACION ,,,,,,
258,00001510,ESLINGA PLANA 3 CAPAS  4 MT GORILA                ,ROTACION ,,,,,,
259,00001512,MAYA ACERO INOX 304 E10 1.5 MM 3/8                ,ACCESORIOS,,,,,,
260,00001751,CANCAMO 1/2X1 1/2 CROSBY S-279                    ,ROTACION ,,,,,,
261,00001752,CANCAMO 5/8 X 1 3/4 CROSBY S-279                  ,ROTACION ,,,,,,
262,00001754,CANCAMO TIPO 279 M30X45 CROSBY                    ,ROTACION ,,,,,,
263,00001757,LLAEV IMPACTO CORONA 36MM FORCE                   ,ROTACION ,,,,,,
264,00001759,ARENA DE CUARZO 20 K.                             ,ROTACION ,,,,,,
265,00001826,ROTULADORA PTP 900W TERMOTRANSPARENCIA WIFI       ,ROTACION ,,,,,,
266,00001827,BROTHER CINTA LAM.TZE -261 36mm x 8mts negro sobre,ROTACION ,,,,,,
267,00001828,BROTHER CINTA ADH FUERTE TZe -s251 24mm x 8 mts ne,ROTACION ,,,,,,
268,00001829,BROTHER CINTA ADH.FUERTE TZe-241 18mmx 8mts negro ,ROTACION ,,,,,,
269,00001830,BROTHER CINTA ADH FUERTE TZe.s231 12mm x 8mts negr,ROTACION ,,,,,,
270,00001831,BROTHER CINTA LAM. TZe. 221  9mm x 8mts negro sobr,ROTACION ,,,,,,
271,00001832,BROTHER CINTA LAM. TZe-545 18 mm x 8 mts blanco so,ROTACION ,,,,,,
272,00001833,REFRIGERADOR MIDEA 260 LTS                        ,ROTACION ,,,,,,
273,00001836,ESCRITORIO 2 CAJONES ME-41233                     ,ROTACION ,,,,,,
274,00001837,SILLA OFICINA MOD5191 BN NEGRA                    ,ROTACION ,,,,,,
275,00001839,"LLAVE FRANCESA 18"" CROSSMAN 95-618                ",ROTACION ,,,,,,
276,00001840,"MANGUERA AIRE-AGUA 300PSI 1/2"" NEGRA MT           ",ROTACION ,,,,,,
277,00001848,PER PARKER AVELL M8 X 80  P  1.25  304 INOX       ,ROTACION ,,,,,,
278,00001851,FILTRO HIDRAULICO BT366-10 CS05AN                 ,ROTACION ,,,,,,
279,00001854,GOLILLA PRESION GALV. 1 1/2    1031008            ,ROTACION ,,,,,,
280,00001856,NEBLINERO AMBAR C/AMP H3                          ,ROTACION ,,,,N,,
281,00001867,CURVA PVC 3/4 (25MM) 90 G.CEM.                    ,ROTACION ,,,,N,,
282,00001875,PERNO HEX GALV. 3/4 X 4 A325   1132042            ,ROTACION ,,,,N,N,
