Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
00050805,FILTRO COMB. FF5638                               ,,12/11/2012,,N,S,
00050806,FILTRO COMB. FS19902                              ,,12/11/2012,,N,,
00050808,FILTRO HIDRA. HF28996                             ,,12/11/2012,,N,,
00050837,INTERNIL 5MM PUDAHUEL                             ,,,,,,
00050859,BASE P/RELE UNV. 11 PINES                         ,,,,,,
00050867,CABLE SUPERFLEX 3 X 14                            ,09/09/2020,12/09/2020,,N,,
00050868,CABLE SUPERFLEX 3 X 16                            ,20/10/2017,20/10/2017,,N,,
00050882,ASIENTO MECANICO                                  ,30/10/2012,06/11/2012,,N,,
00050889,BOLSA PLASTICA 28 X 35  X100                      ,,,,,,
00050890,BOLSA PLASTICA 35 X 40  X100                      ,,,,,,
00050891,BOLSA PLASTICA 35 X 45  X100                      ,,,,,,
00050892,BOLSA PLASTICA  41.5 X 50  X100                   ,,,,,,
00050893,BOLSA PLASTICA 50 X 60 X100                       ,06/12/2018,18/01/2013,S,N,N,N
00050894,BOLSA PLASTICA  60 X 70  X100                     ,,,,N,N,
00050898,BOLSA  PLASTICA 40 X 50  X100                     ,06/12/2018,12/11/2012,S,N,N,N
00050899,BOLSA PLASTICA 33 X40  X100                       ,,12/11/2012,,N,,
00050900,ALERTA ANTI-SUEÑO STEELPRO                        ,27/07/2017,27/07/2017,,N,,
00050939,NAVAJA  RETRACTIL FACOM                           ,,15/11/2012,,N,,
00050940,REPUESTO NAVAJA FACOM 10UN                        ,17/12/2012,19/12/2012,,N,,
00050962,BERBIQUI #1/2  FACOM                              ,17/12/2012,19/12/2012,,N,,
00050983,LETRERO TAXI ROJO                                 ,27/04/2018,11/08/2020,,N,S,
00051017,TENZOR STD. TRINQUETE PALANCA                     ,,,,,,
00051018,CADENA AMARRE 1/2                                 ,,,,,,
00051019,"CADENA AMARRE 5/8""                                ",,,,,,
00051020,"GANCHO TRABADOR 5/8""                              ",,,,,,
00051035,PERNO 3/4 X 2/1/2 RED A325TC TN                   ,,31/10/2012,,N,,
00051036,ZAPATILLA ELECTRICA 6POS BITICINO                 ,,05/11/2012,,N,,
00051076,KGS 10                                            ,10/09/2013,11/02/2013,,N,,
00051078,KGS 2                                             ,10/09/2013,07/01/2014,,N,,
00051087,FILTRO HIDRAULICO 1707196                         ,03/09/2013,12/12/2013,,N,,
00051088,FILTRO COMBUSTIBLE 1691652                        ,07/01/2014,07/01/2014,,N,,
