Codigo,Tipo error,Descripcion,I.Industrial,I.La Serena,I.Matriz,I.Bodega,Ult. fecha compra,Ult.fecha venta
00003903,Letras y numeros,C 2233,,,,,,
00003905,Letras y numeros,C 2239,,,,S,,
00003906,Letras y numeros,C 2243,,,N,,,26/07/2013
00003907,Letras y numeros,C 2248,,,,,,
00003910,Letras y numeros,C 2269,,,,,,
00003911,Letras y numeros,C 2269x,,,,,,
00003912,Letras y numeros,C 2290,,,,,,
00003922,Letras y numeros,C 2339/1,,,,,,
00003927,Letras y numeros,C 2351,,,,,,
00003929,Letras y numeros,C 2354,,,N,,,21/08/2013
00003930,Letras y numeros,C 2365,,,,,,
00003932,Letras y numeros,C 2373,,,,,,
00003934,Letras y numeros,C 2375,,,,,,
00003935,Letras y numeros,C 2379,,,,,,
00003951,Letras y numeros,C 2446,N,,N,S,,22/01/2021
00003952,Letras y numeros,C 2446/1,,,,S,,
00003954,Letras y numeros,C 2452/1,,S,,,,04/09/2017
00003955,Letras y numeros,C 2455,,,,,,
00003956,Letras y numeros,C 2460,,,,,,
00003961,Letras y numeros,C 2489,,,,,,
00003967,Letras y numeros,C 2528/1,,,,,,
00003970,Letras y numeros,C 2534,,,,,,
00003973,Letras y numeros,C 2536,,,,S,,
00003977,Letras y numeros,C 2543,,N,N,,,19/02/2018
00003978,Letras y numeros,C 2544,,,,,,
00003981,Letras y numeros,C 2555/2,,,,,,
00003982,Letras y numeros,C 2558,,,N,,,07/02/2017
00003983,Letras y numeros,C 2558HD,,,,,,
00003991,Letras y numeros,C 2576,,,,,,
00003993,Letras y numeros,C 2585/10,,,,,,
00003994,Letras y numeros,C 2588,,,,,,
00004001,Letras y numeros,C 2630,,,,,,
00004003,Letras y numeros,C 2632,,,,S,,
00004005,Letras y numeros,C 2638,,,,,,
00004008,Letras y numeros,C 2641,,,,,,
00004009,Letras y numeros,C 2642,,,,,,
00004010,Letras y numeros,C 2646,,,,,,
00004011,Letras y numeros,C 2647,,,,,,
00004014,Letras y numeros,C 2650,,,,,,
00004016,Letras y numeros,C 2652,,,,S,,
00004022,Letras y numeros,C 2663HD,,,,,,
00004026,Letras y numeros,C 2671,,,N,,,24/03/2018
00004027,Letras y numeros,C 2673/1,,N,,,,04/02/2014
00004029,Letras y numeros,C 2693,,S,,,,17/05/2016
00004030,Letras y numeros,C 2694,,N,,S,24/01/2012,
00004042,Letras y numeros,C 2799,,,,,,
00004045,Letras y numeros,C 2831,,,,,,
00004052,Letras y numeros,C 2860/2,,,,,,
00004055,Letras y numeros,C 2884HD,,,,,,
00004056,Letras y numeros,C 2887,,,,,,
00004057,Letras y numeros,C 2890,,,,,,
00004058,Letras y numeros,C 2923,,S,N,,08/06/2010,
00004061,Letras y numeros,C 2934,,,,S,,
00004062,Letras y numeros,C 2935,N,,N,S,,05/07/2021
00004064,Letras y numeros,C 2938,,,,,,
00004065,Letras y numeros,C 2942,,,,,,
00004067,Letras y numeros,C 2951,,,,,,
00004068,Letras y numeros,C 2953,,,N,,,
00004070,Letras y numeros,C 2957/10,,,,,,
00004085,Letras y numeros,C 3042,,,,,,
00004086,Letras y numeros,C 3042/1,,,,,,
00004087,Letras y numeros,C 3046,,,,,,
00004088,Letras y numeros,C 3050,,,N,S,,09/03/2018
00004090,Letras y numeros,C 3061,,,N,S,,03/02/2021
00004094,Letras y numeros,C 3143/10,,,,,,
00004095,Letras y numeros,C 3152,,N,,,22/02/2017,
00004096,Letras y numeros,C 3161,,,,,,
00004100,Letras y numeros,C 3175/1,,,,,,
00004102,Letras y numeros,C 3184,,,,,,
00004104,Letras y numeros,C 3224,,,,,,
00004107,Letras y numeros,C 3239,,,N,S,,28/05/2015
00004108,Letras y numeros,C 3253,,,,,,
00004109,Letras y numeros,C 3254,,,,,,
00004110,Letras y numeros,C 3255,,,,S,,
00004111,Letras y numeros,C 3257,,,,,,
00004112,Letras y numeros,C 3260,,,,,,
00004115,Letras y numeros,C 3329,,,,S,,
00004116,Letras y numeros,C 3336/1,,,,,,
00004119,Letras y numeros,C 3361,,,,,,
00004122,Letras y numeros,C 3381,,,,,,
00004123,Letras y numeros,C 3394,,,,,,
00004125,Letras y numeros,C 3451,,,N,,,17/01/2012
00004126,Letras y numeros,C 3456,,,,,,
00004127,Letras y numeros,C 3463,,,,,,
00004128,Letras y numeros,C 3466,,,,,,
00004133,Letras y numeros,C 3534,,,,,,
00004134,Letras y numeros,C 3553,,,,,,
00004135,Letras y numeros,C 3555,,,,,,
00004136,Letras y numeros,C 3566,,,,,,
00004138,Letras y numeros,C 3669,,,N,,,07/09/2017
00004139,Letras y numeros,C 3692,,,,,,
00004140,Letras y numeros,C 3698,,,,,,
00004141,Letras y numeros,C 3698/2,,,N,,19/10/2017,
00004142,Letras y numeros,C 3734/1,,,,,,
00004143,Letras y numeros,C 3770,,,,,,
00004146,Letras y numeros,C 3871,,,,,,
00004150,Letras y numeros,C 4190/1,,,N,,19/10/2017,
00004153,Letras y numeros,C 4373/1,,,,,,
00004155,Letras y numeros,C 11110,,,,,,
00004156,Letras y numeros,C 11136,,,N,,,05/08/2015
00004158,Letras y numeros,C 12085,,,,,,
00004164,Letras y numeros,C 12108,,,,,,
00004165,Letras y numeros,C 12109,,,N,,,27/10/2020
00004166,Letras y numeros,C 12110,,,,,,
00004167,Letras y numeros,C 12110,,,,,,
00004169,Letras y numeros,C 12121,,,,,,
00004170,Letras y numeros,C 12262,,,,,,
00004171,Letras y numeros,C 13102,,,,,,
00004173,Letras y numeros,C 13103/10,,,,,,
00004176,Letras y numeros,C 13109,,,,,,
00004177,Letras y numeros,C 13110,,S,,,,10/12/2019
00004178,Letras y numeros,C 13111,,,N,,,26/10/2011
00004184,Letras y numeros,C 13125,,,,,,
00004186,Letras y numeros,C 13134,,,,,,
00004187,Letras y numeros,C 13135,,,N,,,29/05/2020
00004188,Letras y numeros,C 13142,,,,S,,
00004189,Letras y numeros,C 13145,,,,,,
00004191,Letras y numeros,C 13147,,,,,11/02/2010,
00004192,Letras y numeros,C 13148,,,,,,
00004194,Letras y numeros,C 13152,,,,,,
00004198,Letras y numeros,C 14109,,,,,,
00004199,Letras y numeros,C 14121,,,,,,
00004201,Letras y numeros,C 14148,,,,,,
00004202,Letras y numeros,C 14156,,,,,,
00004203,Letras y numeros,C 14166,,,,,,
00004204,Letras y numeros,C 14166/1,,,,,,
00004211,Letras y numeros,C 14189,,,,,,
00004213,Letras y numeros,C 14195,,,,,,
00004216,Letras y numeros,C 14201,,,,,,
00004217,Letras y numeros,C 14206,,,,,,
00004221,Letras y numeros,C 15116,,,,,,
00004222,Letras y numeros,C 15116,,,,,,
00004223,Letras y numeros,C 15118,,,,,,
00004225,Letras y numeros,C 15120,,,,,,
00004226,Letras y numeros,C 15121,,,,,,
00004227,Letras y numeros,C 15121/1,,,,,,
00004228,Letras y numeros,C 15122/10,,,,,,
00004230,Letras y numeros,C 15123,,,,,,
00004232,Letras y numeros,C 15124/1,,,,,,
00004234,Letras y numeros,C 15132,,,,,,
00004236,Letras y numeros,C 15144,,,,,,
00004238,Letras y numeros,C 15147,,,,,20/04/2010,
00004240,Letras y numeros,C 15165,,,,,,
00004244,Letras y numeros,C 15248,,,,,,
00004248,Letras y numeros,C 16113,,,N,,03/03/2014,
00004249,Letras y numeros,C 16121,,,,,,
00004258,Letras y numeros,C 16144,,,,,,
00004259,Letras y numeros,C 16146,,,,,,
00004261,Letras y numeros,C 16147,,,,,,
00004263,Letras y numeros,C 16153,,,,,,
00004264,Letras y numeros,C 16158,,,,,,
00004270,Letras y numeros,C 16164,,,,,,
00004271,Letras y numeros,C 16175,,,,,,
00004274,Letras y numeros,C 16180,,,,,,
00004275,Letras y numeros,C 16181,,,,,,
00004276,Letras y numeros,C 16181/1,,,,,,
